"","player_name","mp","raptor_offense","raptor_defense","raptor_total","salary","position","guard","forward","center"
"143","Ivica Zubac",1910,-0.909039097684093,2.5257352259818,1.6166961282977,"$7,000,000.00","C",0,0,1
"144","Ja Morant",2256,1.99793266046172,-3.92400884746042,-1.9260761869987,"$9,166,800.00","G",1,0,0
"145","Jaden McDaniels",1511,-1.84223026662783,-0.783926331979555,-2.62615659860738,"$1,964,760.00","F",0,1,0
"146","Jae Crowder",2377,0.455957565384762,2.9896017302971,3.44555929568187,"$9,258,000.00","F",0,1,0
"147","Jae'Sean Tate",2043,-0.401569398725551,1.17743665621662,0.775867257491072,"$1,445,697.00","F",0,1,0
"148","Jake Layman",627,-4.00689292983465,0.767621474262361,-3.23927145557229,"$3,761,085.00","F",0,1,0
"149","Jakob Poeltl",1845,-0.546913831897329,5.08152547557995,4.53461164368262,"$8,101,852.00","C",0,0,1
"150","Jalen Brunson",1811,1.45727438578759,-0.0976542984515882,1.359620087336,"$1,663,861.00","G",1,0,0
"151","Jalen McDaniels",904,-2.55100769516935,-1.74621819315055,-4.2972258883199,"$1,517,981.00","F",0,1,0
"152","Jamal Murray",1704,2.95762508716986,0.52083661090327,3.47846169807313,"$27,285,000.00","G",1,0,0
"153","James Ennis III",986,-0.0477283678830807,0.303538814248296,0.255810446365215,"$3,300,000.00","F",0,1,0
"154","James Harden",1931,7.18704672861424,-1.55280498376511,5.63424174484913,"$41,254,920.00","G",1,0,0
"155","James Johnson",1043,-3.33045017575774,-0.808004884071068,-4.13845505982881,"$16,047,100.00","F",0,1,0
"156","James Wiseman",836,-6.83615027817954,-1.66981604403149,-8.50596632221103,"$8,730,240.00","C",0,0,1
"157","JaMychal Green",1310,0.192509586526467,-0.765627595358557,-0.573118008832091,"$7,199,760.00","F/C",0,1,1
"158","Jarred Vanderbilt",1139,-0.919366499576441,2.89659444276807,1.97722794319163,"$1,663,861.00","F",0,1,0
"159","Jarrett Allen",1864,-0.688407236642117,1.69461319471175,1.00620595806963,"$3,909,902.00","C",0,0,1
"160","JaVale McGee",712,-2.3909724311242,1.75620534170032,-0.634767089423877,"$4,200,000.00","C",0,0,1
"161","Jaxson Hayes",964,-1.56935696229194,1.14567554777414,-0.423681414517801,"$5,105,160.00","C",0,0,1
"162","Jaylen Brown",1999,1.86529584255973,-0.0129013264138238,1.85239451614591,"$25,035,118.00","G/F",1,1,0
"163","Jaylen Nowell",759,-0.887151045707391,-2.2385013938332,-3.12565243954059,"$1,517,981.00","G",1,0,0
"164","Jayson Tatum",2475,4.16568344766585,-1.3869759630394,2.77870748462645,"$9,897,120.00","F",0,1,0
"165","Jeff Green",1983,-0.703657662577642,-0.453430244632462,-1.1570879072101,"$2,564,753.00","F",0,1,0
"166","Jeff Teague",1069,-1.13321794017106,-1.38814378144348,-2.52136172161454,"$3,372,826.00","G",1,0,0
"167","Jerami Grant",1829,1.07080228422161,-0.437504294332394,0.633297989889216,"$19,050,000.00","F",0,1,0
"168","Jeremy Lamb",765,2.73300738728922,-0.33610453794585,2.39690284934337,"$10,500,000.00","F",0,1,0
"169","Jevon Carter",739,0.0778571142310877,-0.784025350478071,-0.706168236246983,"$3,925,000.00","G",1,0,0
"170","Jimmy Butler",1899,3.80510150683153,2.28581628350997,6.0909177903415,"$34,379,100.00","G/F",1,1,0
"171","JJ Redick",723,-0.213681817750659,-1.70020755453174,-1.9138893722824,"$13,013,700.00","G",1,0,0
"172","Joe Harris",2575,1.45121534880328,0.0983568729830099,1.54957222178629,"$16,071,429.00","G/F",1,1,0
"173","Joe Ingles",2173,2.03217379092158,0.476916312060862,2.50909010298244,"$10,363,637.00","G/F",1,1,0
"174","Joel Embiid",1942,3.77289776663758,4.58604769728844,8.35894546392602,"$29,542,010.00","C",0,0,1
"175","John Collins",2424,1.83696195652518,0.866944773677173,2.70390673020235,"$4,137,302.00","F/C",0,1,1
"176","John Konchar",578,1.14953317848111,1.17628166666597,2.32581484514708,"$2,100,000.00","F",0,1,0
"177","John Wall",1288,-1.02369337732219,-1.29006495457744,-2.31375833189963,"$41,254,920.00","G",1,0,0
"178","Jonas Valanciunas",1921,1.9957222521423,0.603947379167838,2.59966963131014,"$15,000,000.00","C",0,0,1
"179","Jordan Clarkson",2116,3.31688317777674,-1.25692172248768,2.05996145528906,"$11,500,000.00","G",1,0,0
"180","Jordan McLaughlin",938,-1.79630234934667,0.0969226116634808,-1.69937973768319,"$503,760.00","G",1,0,0
"181","Jordan Poole",988,0.447900817188961,-3.0061261024246,-2.55822528523564,"$2,063,280.00","G",1,0,0
"182","Josh Hart",1349,-0.338167689120707,1.12802015590675,0.789852466786045,"$3,491,159.00","G",1,0,0
"183","Josh Jackson",1560,-1.50269014322341,1.36939048726236,-0.133299655961056,"$4,767,000.00","F",0,1,0
"184","Josh Okogie",1197,-2.32144703858742,1.74832560039927,-0.573121438188152,"$2,651,040.00","G",1,0,0
"185","Josh Richardson",1884,-1.1303838598707,-0.931770757860378,-2.06215461773107,"$10,865,952.00","G",1,0,0
"186","Jrue Holiday",2819,3.07613482834832,1.25457385988473,4.33070868823305,"$27,026,011.00","G",1,0,0
"187","Juan Toscano-Anderson",1107,-1.52910674430382,2.18670918721304,0.657602442909222,"$943,963.00","F",0,1,0
"188","Juancho Hernangomez",900,-0.62500079849978,-2.56818783726621,-3.19318863576599,"$6,493,000.00","F/C",0,1,1
"189","Julius Randle",2847,0.43805243029402,2.08801395869399,2.52606638898801,"$19,845,000.00","F",0,1,0
"190","Justin Holiday",2183,-0.419143657166346,0.958502397444331,0.539358740277985,"$5,720,400.00","G/F",1,1,0
"191","Justin Jackson",592,-2.74367257642816,-1.18214568657648,-3.92581826300464,"$5,109,637.00","F",0,1,0
"192","Justise Winslow",510,-6.79107993291862,2.11994813070173,-4.67113180221689,"$13,000,000.00","G/F",1,1,0
"193","Jusuf Nurkic",1053,-0.841002068179686,4.21377040044675,3.37276833226707,"$12,888,889.00","C",0,0,1
"194","Karl-Anthony Towns",1689,3.56433399589127,-0.200147548057737,3.36418644783353,"$29,467,800.00","C",0,0,1
"195","Kawhi Leonard",2205,6.33426903688395,1.47773154234732,7.81200057923126,"$34,379,100.00","F",0,1,0
"196","Keldon Johnson",1968,-0.66338367882922,-2.02959496231752,-2.69297864114674,"$2,048,040.00","F",0,1,0
"197","Kelly Olynyk",1997,0.538932032323766,-0.697942783213887,-0.159010750890121,"$12,819,650.00","F/C",0,1,1
"198","Kelly Oubre Jr.",1687,-3.78903093554435,1.1237448034073,-2.66528613213705,"$14,375,000.00","G/F",1,1,0
"199","Kemba Walker",1460,2.83725644628572,0.226864721399023,3.06412116768474,"$34,379,100.00","G",1,0,0
"200","Kendrick Nunn",1743,0.436495045196394,-1.25080849857449,-0.814313453378093,"$1,663,861.00","G",1,0,0
"201","Kenrich Williams",1426,0.876233793597844,0.222229853779729,1.09846364737757,"$2,000,000.00","F",0,1,0
"202","Kent Bazemore",1333,-1.97321201613133,2.67441256325644,0.701200547125105,"$2,320,044.00","G/F",1,1,0
"203","Kentavious Caldwell-Pope",2048,-0.220133960305708,0.297904080029385,0.077770119723677,"$12,073,020.00","G/F",1,1,0
